train_condition,test_condition,phase,precision,recall,f1,jaccard
CRF35,CRF23,ClippingCutting,88.42485176591906,62.93577981651376,73.53414085110943,58.14544838108154
CRF35,CRF23,GallbladderDissection,84.69043151969981,92.67609839859644,88.50349351204905,79.3778175656233
CRF35,CRF23,GallbladderPackaging,70.59423616424382,91.77718832891246,79.8039498342223,66.3948189014152
CRF35,CRF23,CleaningCoagulation,78.44643619291507,70.38100708405132,74.19517610253305,58.976415851115036
CRF35,CRF23,GallbladderRetraction,88.5772565017848,70.35236938031592,78.4198645598194,64.50055699962867
CRF35,CRF28,Preparation,97.31855559528066,76.28923766816143,85.53024351924587,74.7186384847653
CRF35,CRF28,CalotTriangleDissection,92.09184512648443,92.56993585080352,92.33027159842351,85.75323163634135
CRF35,CRF28,ClippingCutting,93.66401158580739,47.467889908256886,63.005358012664395,45.99111111111111
CRF35,CRF28,GallbladderDissection,84.78077713746504,93.90794729179888,89.11126067089371,80.36096470212426
CRF35,CRF28,GallbladderPackaging,70.54741711642252,91.01458885941645,79.48458085999711,65.95386833253244
CRF35,CRF28,CleaningCoagulation,80.2919708029197,77.92456442657476,79.09055577147299,65.41305046608808
CRF35,CRF28,GallbladderRetraction,84.44136657433057,74.07857432158768,78.92125134843582,65.18175338560228
CRF35,CRF35,Preparation,98.87843704775688,76.597533632287,86.3234365129501,75.93776048902473
CRF35,CRF35,CalotTriangleDissection,94.71874667706376,88.36386482375505,91.43101531092293,84.21467288541535
CRF35,CRF35,ClippingCutting,77.59336099585063,72.05504587155963,74.7217201027495,59.6445929526124
CRF35,CRF35,GallbladderDissection,85.30250347705146,91.57863302101609,88.32922284829611,79.09788496259995
CRF35,CRF35,GallbladderPackaging,68.1646048977531,89.52254641909815,77.39716210405619,63.128361000701425
CRF35,CRF35,CleaningCoagulation,74.33164424253013,81.44744399770248,77.72702357025398,63.56843992827257
CRF35,CRF35,GallbladderRetraction,80.17582417582418,73.8760631834751,76.89713322091063,62.465753424657535
CRF35,CRF51,Preparation,97.53024193548387,54.23206278026906,69.70461095100865,53.49737351396185
CRF35,CRF51,CalotTriangleDissection,84.8073707127757,88.87639706368627,86.79421974650843,76.66942408078272
CRF35,CRF51,ClippingCutting,71.74657534246576,23.06422018348624,34.90697028603166,21.14381833473507
CRF35,CRF51,GallbladderDissection,77.68651843705969,84.38538205980066,80.89750930432294,67.92260080524008
CRF35,CRF51,GallbladderPackaging,53.721820501914074,83.75331564986737,65.45737237626328,48.651771956856706
CRF35,CRF51,CleaningCoagulation,71.06335679881438,73.44438062416236,72.23425289520762,56.53647752394989
CRF35,CRF51,GallbladderRetraction,82.29215594175669,70.9599027946537,76.20704654197476,61.560084328882645
CRF51,Original,Preparation,98.8821138211382,54.540358744394624,70.30346820809248,54.20612813370474
CRF51,Original,CalotTriangleDissection,85.7999878189902,93.16513458104623,89.33100824350034,80.71909468557513
CRF51,Original,ClippingCutting,91.99819168173599,37.3394495412844,53.119290002610285,36.16491913986138
CRF51,Original,GallbladderDissection,82.50381256065438,88.85736682966889,85.56280440682231,74.76835128938029
CRF51,Original,GallbladderPackaging,72.2177527487262,89.29045092838196,79.85174203113418,66.46100691016782
